NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;43553.130;43553.130
1308160;512;100;44338.562;44338.562
1308160;512;150;43796.084;43796.084
1308160;512;200;44046.747;44046.747
1308160;512;250;44721.348;44721.348
1308160;1024;50;49535.260;49535.260
1308160;1024;100;49206.296;49206.296
1308160;1024;150;50049.353;50049.353
1308160;1024;200;50052.476;50052.476
1308160;1024;250;50173.133;50173.133
1308160;1536;50;58744.578;58744.578
1308160;1536;100;58917.449;58917.449
1308160;1536;150;59020.525;59020.525
1308160;1536;200;58924.760;58924.760
1308160;1536;250;63207.004;63207.004
1308160;2048;50;75903.821;75903.821
1308160;2048;100;77309.424;77309.424
1308160;2048;150;72340.831;72340.831
1308160;2048;200;67516.317;67516.317
1308160;2048;250;69020.744;69020.744
1308160;2560;50;84279.994;84279.994
1308160;2560;100;84449.075;84449.075
1308160;2560;150;84890.066;84890.066
1308160;2560;200;84586.868;84586.868
1308160;2560;250;84711.087;84711.087
1962240;512;50;68890.652;68890.652
1962240;512;100;70309.122;70309.122
1962240;512;150;67509.811;67509.811
1962240;512;200;66157.811;66157.811
1962240;512;250;64570.417;64570.417
1962240;1024;50;70022.642;70022.642
1962240;1024;100;69369.129;69369.129
1962240;1024;150;68873.593;68873.593
1962240;1024;200;68167.364;68167.364
1962240;1024;250;71197.427;71197.427
1962240;1536;50;86441.698;86441.698
1962240;1536;100;92342.598;92342.598
1962240;1536;150;89842.355;89842.355
1962240;1536;200;89398.466;89398.466
1962240;1536;250;90841.472;90841.472
1962240;2048;50;109354.777;109354.777
1962240;2048;100;112292.362;112292.362
1962240;2048;150;117915.131;117915.131
1962240;2048;200;113492.941;113492.941
1962240;2048;250;114981.030;114981.030
1962240;2560;50;100793.374;100793.374
1962240;2560;100;56358.687;56358.687
1962240;2560;150;55781.388;55781.388
1962240;2560;200;54799.067;54799.067
1962240;2560;250;57103.908;57103.908
2616320;512;50;74451.880;74451.880
2616320;512;100;74637.086;74637.086
2616320;512;150;74493.371;74493.371
2616320;512;200;74198.579;74198.579
2616320;512;250;74611.417;74611.417
2616320;1024;50;80611.892;80611.892
2616320;1024;100;80304.428;80304.428
2616320;1024;150;80269.833;80269.833
2616320;1024;200;80330.611;80330.611
2616320;1024;250;80618.220;80618.220
2616320;1536;50;89942.326;89942.326
2616320;1536;100;89878.842;89878.842
2616320;1536;150;432096.531;432096.531
2616320;1536;200;93189.153;93189.153
2616320;1536;250;94567.416;94567.416
2616320;2048;50;96457.246;96457.246
2616320;2048;100;132058.861;132058.861
2616320;2048;150;81036.610;81036.610
